"plot_id","genotype","environment","replicate","range","row","yield"
"CS17-DG2F-162","TX770/LH195","DG2F",5,8,355,12.06923707
"CS17-DG2F-163","LH195/PHZ51","DG2F",5,8,353,10.76574183
"CS17-DG2F-164","B73/TX6252","DG2F",5,8,351,9.06401575
"CS17-DG2F-165","TX714/TX775","DG2F",5,8,349,13.45062508
"CS17-DG2F-166","TX714/TX777","DG2F",5,8,347,13.30889533
"CS17-DG2F-167","B73/TX777","DG2F",5,8,345,12.01556483
"CS17-DG2F-168","TX303/TX777","DG2F",5,8,343,11.44754192
"CS17-DG2F-169","PHP38/PHN82","DG2F",5,9,343,11.00130896
"CS17-DG2F-170","PHHB9/PHR55","DG2F",5,9,345,13.48821787
"CS17-DG2F-171","PHV63/PHP60","DG2F",5,9,347,10.40255655
"CS17-DG2F-172","LH195/PHN47","DG2F",5,9,349,12.18706062
"CS17-DG2F-173","LH195/PHW30","DG2F",5,9,351,8.890903179
"CS17-DG2F-174","LH195/NK787","DG2F",5,9,353,12.59915197
"CS17-DG2F-175","PHV63/PGM49","DG2F",5,9,355,9.010904292
"CS17-DG2F-176","LH195/PHR03","DG2F",5,9,357,13.49653938
"CS17-DG2F-177","PHHB9/LH210","DG2F",5,9,359,11.65145235
"CS17-DG2F-178","PHV63/PHZ51","DG2F",5,9,361,8.567835601
"CS17-DG2F-179","PHV63/PHR55","DG2F",5,9,363,11.97292966
"CS17-DG2F-180","PHV63/PHN47","DG2F",5,9,365,10.02184477
"CS17-DG2F-181","PHV63/NK787","DG2F",5,9,367,10.84295386
"CS17-DG2F-182","PHHB9/PHJ65","DG2F",5,9,369,11.24146556
"CS17-DG2F-183","LH195/PHR63","DG2F",5,9,371,9.945852881
"CS17-DG2F-184","PHW52/PHN47","DG2F",5,9,373,12.59153539
"CS17-DG2F-185","PHW52/LH185","DG2F",5,9,375,10.09573116
"CS17-DG2F-186","PHHB9/PHP60","DG2F",5,9,377,10.35417314
